ID,Date,Hrs,Title,Content,Author,Source,Domain,Category,Country,Sentiment,Groups,Followers Count,Social Media Reach,Likes,Dislikes,Shares,Comments
33205581236,2019-01-11,19:58,adoptapup25,"Reposted from @rescuealldogs - ??ADOPTABLE DOG?? Leena has the prettiest face! She is a four year old female who weighs 55 pounds. She is available at @northcentralshelter in Los Angeles, where she has been since September. * * * ID A1811616 (Photos ",http://instagram.com/adoptapup25,https://instagram.com/p/BshS-84FQY3,instagram.com,Instagram,"Los Angeles, California",1,,358,132.46,11,,,0
33204475189,2019-01-11,19:32,kbheat,"No, it's cool @socalharmony. You can sit wherever you want... ?????? #MalShi #TooCute #DogsOfInstagram # DogsOfLA #MakeYourselfComfortable #DontMindMyNeck",http://instagram.com/kbheat,https://instagram.com/p/BshP976h-Q5,instagram.com,Instagram,,1,,88936,32906.32,135,,,2
33205581243,2019-01-11,19:22,followyourarrow_gsp,#dogsofplayavista • • • • • #gsppicoftheday #gspnation #gspoftheday #arrowthegsp #arrowthedog #blackandwhite #ticking #liverandroan #therunwayplayavista #playavista #playavistaca # dogsoflosangeles,http://instagram.com/followyourarrow_gsp,https://instagram.com/p/BshO5QGArl_,instagram.com,Instagram,"Playa Vista, California",0,,1873,693.01,32,,,0
33204579711,2019-01-11,19:21,toaftheloaf,ZzZzz #derp #shibamix #beaglemix #jindomix #muttsofinstagram #muttstagram #dogoftheday #dailyfluff #rescuedogsofinstagram #rescuedog #adoptdontshop #dailybarker #bestwoof #petinsider #happydoghappylife # dogsoflosangeles # ladogs #dogmemes #????? #ch,http://instagram.com/toaftheloaf,https://instagram.com/p/BshOqvhHeXW,instagram.com,Instagram,"Los Angeles, California",0,,219,81.03,13,,,2
33204579716,2019-01-11,19:15,tonkathejack,#Fridays #pairofjacks #jackrussellterrier #jackrussell #silverlake #la # ladogs,http://instagram.com/tonkathejack,https://instagram.com/p/BshODD4Dp59,instagram.com,Instagram,Silver Lake Reservoir,0,,1158,428.46,19,,,0
33205581247,2019-01-11,19:14,remyaruthelab,I’m on my humans lap and I hear whimpering. cannot tell if other pupper or my human. #lapdog . . . . . . . #chocolatelabrador #labradorretriever #chocolatelabradorsofinstaworld #chocolatelab #chocolatelab_squad #worldoflabs #justlabradors #talesofala,http://instagram.com/remyaruthelab,https://instagram.com/p/BshN8AZgLM_,instagram.com,Instagram,"Los Angeles, California",0,,193,71.41,30,,,1
33204129551,2019-01-11,19:13,susanne.roy,"?? Jack ?? 3 year old neutered male Boxer fusion VVAPL Humane Society 21779 Zuni Road Apple Valley, Ca. 92307 760-247-2102 vvapl62@yahoo.com #adoptdontshop #rescue #dogs #boxer #shelterdogsrock # socaldogs #shelterdogsofinstagram #vvapl",http://instagram.com/susanne.roy,https://instagram.com/p/BshN0v_gAK5,instagram.com,Instagram,,1,,740,273.8,8,,,0
33204475207,2019-01-11,19:13,thegoldennuggetoflove,I swear. I didn’t do it. . . . #frankiefiles #desertdog #pioneertown #joshuatree #theavocado #chihuahuasofinstagram #chihuahuas #chihuahualover #chihuahuaworld #itsmyworld #iletyouliveinit #dogsofinstgram #dogs #dogsofig #dogslife #dogstagram #dog #a,http://instagram.com/thegoldennuggetoflove,https://instagram.com/p/BshNzM4BBMz,instagram.com,Instagram,"Pioneertown, California",0,,313,115.81,21,,,2
33204579718,2019-01-11,19:11,updogla,"Pure dog park fun! Kona, Winston, Kai, And little white fluff, Doug from another pack....?? . . #updogla #dogsofinstagram #dog #dogs #calidogs #dogosofcalifornia #updoglaphotography #dogphotographer #dogphotography #photography #petphotography #dogwal",http://instagram.com/updogla,https://instagram.com/p/BshNphRgd5D,instagram.com,Instagram,Sepulveda Basin Off-Leash Dog Park,1,,1982,733.34,15,,,0
33204475219,2019-01-11,19:09,zerothelittlebrowndog,I’m ready for summer but my humans and Ronin are not! ?? ? ? ? ? ? ? ? ? ? ? #dogslife #itsadoglife #dogsofinsta #dogsofinstagram #doggy # ladogs # dogsofLA #californiadogs #libra #dogsloversclub #doginfluencer #basenji #basenjimix #chihuahua #chihua,http://instagram.com/zerothelittlebrowndog,https://instagram.com/p/BshNZnbB6zN,instagram.com,Instagram,,0,,93,34.41,9,,,0
33204129560,2019-01-11,19:03,susanne.roy,"?? Raybo ?? 18 month old male Pit Bull fusion VVAPL Humane Society 21779 Zuni Road Apple Valley, Ca. 92307 760-247-2102 vvapl62@yahoo.com #adoptdontshop #rescue #dogs #pitbull #shelterdogsrock # socaldogs #shelterdogsofinstagram ##vvapl",http://instagram.com/susanne.roy,https://instagram.com/p/BshMs1Aghsh,instagram.com,Instagram,,1,,740,273.8,6,,,0
33204579726,2019-01-11,18:58,nandosbaja,Abiertos asta las 11pm Open til 11pm Aprox address 5700 e. whittier blvd. . . . #mexicalihotdog #bajastylehotdog #mexicali #mexicalistyle #bajastyle #estilomexicali #cachanillahotdog #bajahotdog #chicalihotdog #eastla #commerce #cityofcommerce #whitt,http://instagram.com/nandosbaja,https://instagram.com/p/BshMGMDBNrs,instagram.com,Instagram,Nando's Baja Dogs,0,,2665,986.05,35,,,0
33204129564,2019-01-11,18:55,susanne.roy,"?? Ghost ?? 1 year old neutered male Shepherd/Husky fusion VVAPL Humane Society 21779 Zuni Road Apple Valley, Ca. 92307 760-247-2102 vvapl62@yahoo.com #adoptdontshop #rescue #dogs #shepsky #shelterdogsrock # socaldogs #shelterdigsofinstagram #vvapl",http://instagram.com/susanne.roy,https://instagram.com/p/BshLw7Wg1QW,instagram.com,Instagram,,1,,740,273.8,12,,,1
33205581252,2019-01-11,18:53,wehohappydoggies,Keep calm and love reggae - Happy Friday everyone ????? #happydoggies #happylife . . . . . . #westhollywood #weho #melrose #melroseavenue #hollywood #hollywoodhills #runyon #beverlyhills #venice #studiocity #belair #dogsoflosfeliz #dogsofbeverlyhills ,http://instagram.com/wehohappydoggies,https://instagram.com/p/BshLYJLh40P,instagram.com,Instagram,Happy Doggies,1,,1700,629,19,,,0
33205581255,2019-01-11,18:46,wehohappydoggies,Golden in work mode #happydoggies #happylife . . . . . #weho #westhollywood #hollywood #runyoncanyon #runyon #hollywood #hollywoodhills #melrose #dogsofinstagram #dogstagram #dogs #dogsofweho #wehodogs # dogsoflosangeles,http://instagram.com/wehohappydoggies,https://instagram.com/p/BshIfQKhxxW,instagram.com,Instagram,"West Hollywood, California",0,,1700,629,14,,,0
33204129576,2019-01-11,18:37,rubythebluecattledog,Evening dog park! #dogpark #cattledogsofinstagram #heelersofinstagram #santaclarita #scv # socaldogs #socalheeler,http://instagram.com/rubythebluecattledog,https://instagram.com/p/BshJvN-gN8Q,instagram.com,Instagram,"Santa Clarita, California",0,,886,327.82,10,,,0
33204579732,2019-01-11,18:36,houseofspecialteams,Mom was too “busy” doing people things to post pictures of how devastatingly handsome I’ve become. It’s a small consolation for being too big to be carried... but at least they kiss me a lot. . . . . #handsome #dashing #lovedogs #growingup #awkwardst,http://instagram.com/houseofspecialteams,https://instagram.com/p/BshJjpHFc7X,instagram.com,Instagram,,1,,392,145.04,16,,,2
